Serial,name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume,UnitCell_MW_g_mol,score_test,label_test
1047,c8ce00476e2_2_FSR_pacman,1.47218,3.23236,6.36586,3942.65,0.44942,0.305276,7248.236,0.14303346071129008,1
431,c4dt02048k2_2_FSR_pacman,1.53209,3.431,4.68044,4214.36,0.3966,0.258863,3335.176,0.1430088318336481,1
1794,d0cc06092e2_1_ASR_pacman,1.38153,3.82273,6.50669,4027.1,0.45894,0.332196,8576.136,0.14286175264592682,1
1795,d0cc06092e2_1_FSR_pacman,1.38153,3.82273,6.50669,4027.1,0.45894,0.332196,8576.136,0.14286175264592682,1
1732,d0cc01627f2_FSR_pacman,1.30601,2.38675,4.63639,4610.41,0.45728,0.350136,3759.34,0.1428379313681768,1
1731,d0cc01627f2_ASR_pacman,1.30601,2.38675,4.63639,4610.41,0.45728,0.350136,3759.34,0.1428379313681768,1
1470,c9nj02025j2_FSR_pacman,1.66216,2.10386,4.15128,4169.27,0.4078,0.245343,10602.52,0.1427914465302369,1
1393,c9dt00391f2_2_FSR_pacman,1.50253,2.1034,4.93439,4063.02,0.43404,0.288872,2315.611,0.14269287612949177,1
1392,c9dt00391f2_2_ASR_pacman,1.50253,2.1034,4.93439,4063.02,0.43404,0.288872,2315.611,0.14269287612949177,1
3490,ja9b02857_si_002_FSR_pacman,1.21779,3.28043,7.92943,4136.97,0.50722,0.416507,6266.448,0.14268642298307344,1
1792,d0cc06019d2_FSR_pacman,1.49188,2.65612,4.92113,4107.89,0.44502,0.298295,2956.494,0.14264986641051103,1
2482,d3ce01060k2_2_ASR_pacman,1.37749,2.74321,5.29248,4047.59,0.45452,0.329963,746.452,0.14264662015959007,1
760,c7ce01510k2_1_FSR_pacman,1.42257,2.64463,4.94534,4027.73,0.43754,0.307569,1093.384,0.14247472685197582,1
759,c7ce01510k2_1_ASR_pacman,1.42257,2.64463,4.94534,4027.73,0.43754,0.307569,1093.384,0.14247472685197582,1
848,c7dt04566b2_3_FSR_pacman,1.50984,2.81307,4.74145,4121.47,0.43962,0.291169,4365.132,0.1423381035146677,1
619,c6nj02863b2_4_ASR_pacman,1.32291,3.2157,8.68663,4050.79,0.50112,0.378801,2152.776,0.14221269067075304,1
445,c5ce00181a2_1_FSR_pacman,1.27452,3.96311,5.36775,4402.73,0.45752,0.358974,4508.864,0.14205783507741687,1
394,am9b14121_si_001_2_FSR_pacman,1.47426,3.1165,5.99882,3953.08,0.45022,0.305387,5143.858,0.14197361983845214,1
1369,c9ce01529a2_3_FSR_pacman,1.46277,3.26758,4.63564,4213.31,0.4435,0.303191,6485.632,0.14194223348290835,1
6,10876_2019_1683_MOESM2_ESM_2_FSR_pacman,1.45561,2.55504,4.12056,4078.34,0.40552,0.27859,2749.444,0.14184006924284331,1
2063,d0sc05002d2_1_FSR_pacman,1.40507,2.90209,5.35629,3947.52,0.4379,0.311658,13140.532,0.14170874410825995,1
1861,d0ce01201g2_3_ASR_pacman,1.53075,2.54829,5.30939,3939.57,0.40062,0.261716,8881.64,0.14123036144164502,1
1862,d0ce01201g2_3_FSR_pacman,1.53075,2.54829,5.30939,3939.57,0.40062,0.261716,8881.64,0.14123036144164502,1
3659,jz6b02458_si_004_4_FSR_pacman,1.28369,3.82569,5.00222,4372.18,0.45786,0.356674,353.24,0.14116387765362648,1
1917,d0dt01875a2_2_FSR_pacman,1.50676,3.81004,4.92289,4254.03,0.42774,0.283881,2921.36,0.14085244705708833,1
1916,d0dt01875a2_2_ASR_pacman,1.50676,3.81004,4.92289,4254.03,0.42774,0.283881,2921.36,0.14085244705708833,1
2187,d1ma00111f6_3_ASR_pacman,1.53409,2.23479,3.91459,4145.86,0.41942,0.2734,1842.928,0.14082178432550652,1
2188,d1ma00111f6_3_FSR_pacman,1.53409,2.23479,3.91459,4145.86,0.41942,0.2734,1842.928,0.14082178432550652,1
629,c6ra25319a2_FSR_pacman,1.47769,3.01685,3.84531,4169.53,0.40424,0.273562,844.55,0.14079062774646312,1
3230,ja7b04542_si_003_FSR_pacman,1.51431,3.21461,4.47681,4264.18,0.36388,0.240295,3097.147,0.14076069932258972,1
3229,ja7b04542_si_003_ASR_pacman,1.51431,3.21461,4.47681,4264.18,0.36388,0.240295,3097.147,0.14076069932258972,1
393,am9b14121_si_001_2_ASR_pacman,1.46439,3.1165,5.99882,3932.24,0.45558,0.311106,5107.828,0.14053674258793958,1
461,c5ce01912e2_3_FSR_pacman,1.44177,3.94327,4.96409,4456.23,0.43246,0.29995,4766.664,0.1402616601981117,1
271,am6b15250_si_002_FSR_pacman,1.38667,3.49966,4.4065,4305.6,0.44786,0.322975,1478.5,0.14022198336874103,1
1178,c8dt05136d2_5_FSR_pacman,1.30326,3.57407,4.49576,4634.35,0.42162,0.323513,1190.962,0.14001733221341184,1
1177,c8dt05136d2_5_ASR_pacman,1.30326,3.57407,4.49576,4634.35,0.42162,0.323513,1190.962,0.14001733221341184,1
1241,c8ra09777a2_ASR_pacman,1.36245,2.88053,4.08861,4574.31,0.44984,0.330171,3078.148,0.1399128692323537,1
2643,d3tc02088f2_4_ASR_pacman,1.38125,3.9572,4.82759,4435.52,0.4394,0.318118,2546.496,0.13986499570922062,1
2644,d3tc02088f2_4_FSR_pacman,1.38125,3.9572,4.82759,4435.52,0.4394,0.318118,2546.496,0.13986499570922062,1
628,c6ra25319a2_ASR_pacman,1.42157,3.01685,3.84531,4179.69,0.42616,0.299781,808.52,0.1398120528512946,1
2422,d3ce00592e2_1_ASR_pacman,1.2836,3.20074,5.8308,4386.33,0.49344,0.384419,15114.916,0.13978920226334268,1
2423,d3ce00592e2_1_FSR_pacman,1.2836,3.20074,5.8308,4386.33,0.49344,0.384419,15114.916,0.13978920226334268,1
2275,d2ce00174h2_ion_pacman,1.2397,3.99368,6.27917,4431.03,0.48526,0.391433,7156.272,0.13963656192316742,1
365,am8b20450_si_004_FSR_pacman,1.54853,2.84078,4.99336,4002.93,0.38168,0.246479,6603.192,0.13962881711662734,1
120,S0885715619000228sup004_FSR_pacman,1.4012,3.88468,5.31759,4290.51,0.46112,0.32909,1852.272,0.1395608421649599,1
315,am8b02015_si_006_FSR_pacman,1.4012,3.88468,5.31759,4290.51,0.46112,0.32909,1852.272,0.1395608421649599,1
320,am8b02015_si_011_ASR_pacman,1.29961,3.54329,6.51035,4411.17,0.49764,0.382916,7026.132,0.1394982388891739,1
115,S0885715619000228sup002_ASR_pacman,1.29961,3.54329,6.51035,4411.17,0.49764,0.382916,7026.132,0.1394982388891739,1
1072,c8ce00877a2_3_ASR_pacman,1.33082,3.69186,5.39606,4075.97,0.46068,0.346163,4724.626,0.1393665006831879,1
1073,c8ce00877a2_3_FSR_pacman,1.33082,3.69186,5.39606,4075.97,0.46068,0.346163,4724.626,0.1393665006831879,1
1918,d0dt01875a2_3_ASR_pacman,1.52301,3.70579,4.68529,4185.48,0.42696,0.28034,2909.264,0.13897805497252735,1
1919,d0dt01875a2_3_FSR_pacman,1.52301,3.70579,4.68529,4185.48,0.42696,0.28034,2909.264,0.13897805497252735,1
2837,ja0c05286_si_006_FSR_pacman,1.29599,2.95388,5.10649,4294.34,0.4834,0.372996,3362.636,0.13886504695321167,1
1195,c8nj05139a2_1_FSR_pacman,1.31972,2.62499,5.79262,4142.68,0.48774,0.369578,7371.757,0.13882293394076484,1
1914,d0dt01875a2_1_ASR_pacman,1.51713,3.74779,4.62307,4215.73,0.4274,0.281716,2917.328,0.1388029397792937,1
1915,d0dt01875a2_1_FSR_pacman,1.51713,3.74779,4.62307,4215.73,0.4274,0.281716,2917.328,0.1388029397792937,1
442,c5cc09432a2_1_FSR_pacman,1.37926,3.98223,5.54414,4056.38,0.44644,0.323682,4937.043,0.13871666002451732,1
