Serial,name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume,UnitCell_MW_g_mol,score_svr
3521,ja9b05571_si_004_ASR_pacman,0.751422,13.74524,18.10434,2167.57,0.81524,1.08493,17449.119,0.441745805
3172,ja7b02184_si_016_ASR_pacman,0.780538,8.89852,17.73155,4064.35,0.6806,0.871962,6275.28,0.441648652
3173,ja7b02184_si_016_FSR_pacman,0.780538,8.89852,17.73155,4064.35,0.6806,0.871962,6275.28,0.441648652
3522,ja9b05571_si_004_FSR_pacman,0.86777,12.08992,17.422,2335.08,0.77092,0.888392,18969.024,0.441301027
3527,ja9b05580_si_003_ASR_pacman,0.667552,3.27073,23.37406,3871.96,0.73706,1.10412,8200.164,0.441104997
3528,ja9b05580_si_003_FSR_pacman,0.667552,3.27073,23.37406,3871.96,0.73706,1.10412,8200.164,0.441104997
3337,ja8b04669_si_002_FSR_pacman,0.937939,14.71721,19.0112,4116.27,0.6595,0.703137,11156.416,0.441073837
842,c7dt04087c2_ASR_pacman,1.21662,6.63923,14.44218,2349.89,0.69668,0.572633,27911.136,0.440918146
2258,d2cc03575h2_FSR_pacman,0.86656,9.73342,17.00966,3055.67,0.72274,0.834033,3361.015,0.440560688
559,c6cc02494g1_ASR_pacman,1.14319,10.45937,11.7052,2526.39,0.65038,0.568915,6708.984,0.44046263
560,c6cc02494g1_FSR_pacman,1.14319,10.45937,11.7052,2526.39,0.65038,0.568915,6708.984,0.44046263
3444,ja8b12372_si_002_FSR_pacman,0.989941,10.32087,12.09468,3231.26,0.67508,0.68194,4972.708,0.440353367
3281,ja7b09496_si_007_FSR_pacman,1.00489,13.31172,14.11258,2879.72,0.72766,0.72412,2950.492,0.440286858
3017,ja5b00450_si_005_ASR_pacman,1.7617,6.63171,14.17243,2093.11,0.54226,0.307804,6206.524,0.440126411
563,c6cc02494g6_ASR_pacman,1.14137,10.46964,11.71489,2532.85,0.6545,0.573435,2236.328,0.439740075
564,c6cc02494g6_FSR_pacman,1.14137,10.46964,11.71489,2532.85,0.6545,0.573435,2236.328,0.439740075
3270,ja7b07921_si_002_1_FSR_pacman,0.779842,3.92177,19.48133,3307.97,0.74094,0.950116,7891.644,0.43935964
3269,ja7b07921_si_002_1_ASR_pacman,0.779842,3.92177,19.48133,3307.97,0.74094,0.950116,7891.644,0.43935964
668,c7cc03345a2_1_FSR_pacman,1.17802,6.79971,14.30748,3883.72,0.55188,0.468481,7776.864,0.439359405
667,c7cc03345a2_1_ASR_pacman,1.17802,6.79971,14.30748,3883.72,0.55188,0.468481,7776.864,0.439359405
1725,cs9b01043_si_006_ASR_pacman,2.39009,9.76233,13.12772,1417.46,0.62088,0.259772,7835.361,0.439311716
1726,cs9b01043_si_006_FSR_pacman,2.39009,9.76233,13.12772,1417.46,0.62088,0.259772,7835.361,0.439311716
3251,ja7b06197_si_002_ASR_pacman,0.926254,11.91199,15.50048,4058.66,0.67362,0.727252,3262.434,0.439008152
3252,ja7b06197_si_002_FSR_pacman,0.926254,11.91199,15.50048,4058.66,0.67362,0.727252,3262.434,0.439008152
1520,c9sc03224j2_ASR_pacman,0.872071,4.98361,14.11484,3302.36,0.69516,0.797137,1811.762,0.438831606
1521,c9sc03224j2_FSR_pacman,0.872071,4.98361,14.11484,3302.36,0.69516,0.797137,1811.762,0.438831606
3628,ja9b12527_si_003_ASR_pacman,0.935315,7.24239,15.46923,4202.53,0.57274,0.61235,33007.872,0.438777254
1863,d0ce01209b2_2_ASR_pacman,1.24928,3.76405,16.4498,3727.98,0.50846,0.407002,62927.487,0.438459001
3463,ja8b12530_si_002_3_FSR_pacman,0.882173,13.08309,13.39527,3490.69,0.68778,0.779643,3912.931,0.438394742
3455,ja8b12530_si_001_3_ASR_pacman,0.519576,29.3367,30.79071,3415.84,0.81526,1.56909,6265.731,0.437605652
3629,ja9b12527_si_003_FSR_pacman,0.942477,7.24239,15.46923,4209.73,0.56954,0.604301,33264.208,0.437365184
1315,c9cc08443f2_4_ASR_pacman,1.50713,9.87439,13.07323,2093.83,0.70016,0.464564,5930.128,0.436972285
1316,c9cc08443f2_4_FSR_pacman,1.50713,9.87439,13.07323,2093.83,0.70016,0.464564,5930.128,0.436972285
771,c7cy01668a2_1_FSR_pacman,1.52002,4.19003,14.02936,2096.61,0.67224,0.442259,39179.799,0.436931569
1676,cm9b01258_si_008_ASR_pacman,2.00994,10.42502,12.7804,1114.75,0.66804,0.332369,2421.012,0.436814616
2291,d2ce01686a2_FSR_pacman,1.07988,6.74348,17.95961,1771.77,0.76252,0.706113,15857.208,0.4366287
2290,d2ce01686a2_ASR_pacman,1.07988,6.74348,17.95961,1771.77,0.76252,0.706113,15857.208,0.4366287
3267,ja7b07856_si_002_ASR_pacman,0.919008,13.37338,15.28275,3963.94,0.67912,0.73897,5328.492,0.435998385
3268,ja7b07856_si_002_FSR_pacman,0.919008,13.37338,15.28275,3963.94,0.67912,0.73897,5328.492,0.435998385
1738,d0cc02841j2_1_FSR_pacman,1.88871,8.58403,15.37239,1103.35,0.76878,0.40704,3980.566,0.435925918
2245,d2cc03016k2_1_ASR_pacman,0.864697,4.73637,13.85242,3521.37,0.6961,0.805022,1820.93,0.435800857
2246,d2cc03016k2_1_FSR_pacman,0.864697,4.73637,13.85242,3521.37,0.6961,0.805022,1820.93,0.435800857
3443,ja8b12372_si_002_ASR_pacman,0.968599,10.32087,12.09468,3197.53,0.68346,0.705617,4844.716,0.434837407
1737,d0cc02841j2_1_ASR_pacman,1.8662,8.58403,15.37239,1094.94,0.7766,0.416141,3596.59,0.434822903
342,am8b09333_si_007_FSR_pacman,0.846017,5.31116,13.34465,3627.21,0.68184,0.805941,17917.656,0.434689003
930,c7sc03739b2_2_FSR_pacman,0.592191,14.61197,24.41653,2638.85,0.83806,1.41518,8123.388,0.434525597
929,c7sc03739b2_2_ASR_pacman,0.592191,14.61197,24.41653,2638.85,0.83806,1.41518,8123.388,0.434525597
993,c8cc03121e2_4_FSR_pacman,1.29865,6.02885,13.9648,2130.97,0.68558,0.527917,1568.889,0.43420506
2775,ic6b03170_si_002_FSR_pacman,0.996258,7.80994,11.66797,3221.25,0.66182,0.664306,1592.279,0.433714423
2774,ic6b03170_si_002_ASR_pacman,0.996258,7.80994,11.66797,3221.25,0.66182,0.664306,1592.279,0.433714423
248,am0c03336_si_003_FSR_pacman,1.01552,5.70262,12.07856,3635.79,0.62616,0.616591,17301.374,0.433323389
247,am0c03336_si_003_ASR_pacman,1.01552,5.70262,12.07856,3635.79,0.62616,0.616591,17301.374,0.433323389
1457,c9dt04158c2_2_FSR_pacman,1.10348,8.43171,11.31036,3636.69,0.6017,0.545275,7951.528,0.433202123
3392,ja8b07050_si_005_ASR_pacman,0.93577,11.04615,11.74983,2871.11,0.67696,0.723426,1764.036,0.433179205
698,c7cc06652j2_FSR_pacman,0.922285,7.57403,19.47071,2487.9,0.76846,0.833213,5935.44,0.433066727
2335,d2ra02892a2_ASR_pacman,1.49655,3.58288,14.52264,2233.3,0.5377,0.359293,3323.058,0.432850605
991,c8cc03121e2_3_FSR_pacman,1.29979,6.0757,13.97661,2101.9,0.68938,0.530377,1568.889,0.432668391
992,c8cc03121e2_4_ASR_pacman,1.26959,6.02885,14.36377,2058.9,0.699,0.55057,1520.892,0.432456656
609,c6dt04165e2_2_ASR_pacman,1.16803,11.70082,12.47272,3064.63,0.7165,0.613427,9378.954,0.432359137
610,c6dt04165e2_2_FSR_pacman,1.16803,11.70082,12.47272,3064.63,0.7165,0.613427,9378.954,0.432359137
3018,ja5b00450_si_005_FSR_pacman,1.77188,5.21259,14.17243,2108.49,0.5376,0.303406,6254.521,0.432068992
989,c8cc03121e2_1_FSR_pacman,1.36415,6.02849,13.82615,2040.01,0.68474,0.501954,1616.886,0.431793179
928,c7sc03739b2_1_FSR_pacman,0.691676,11.50645,23.79936,2560.26,0.81418,1.17711,8699.352,0.431566375
927,c7sc03739b2_1_ASR_pacman,0.691676,11.50645,23.79936,2560.26,0.81418,1.17711,8699.352,0.431566375
3446,ja8b12372_si_003_FSR_pacman,1.26239,9.85738,10.40375,2845.39,0.63086,0.499733,5432.69,0.431489407
1503,c9sc00178f2_4_FSR_pacman,1.23908,11.36056,11.83969,2140.83,0.69048,0.557252,19547.157,0.431453725
1502,c9sc00178f2_4_ASR_pacman,1.23908,11.36056,11.83969,2140.83,0.69048,0.557252,19547.157,0.431453725
3456,ja8b12530_si_001_3_FSR_pacman,0.534284,29.3367,30.79071,3455.04,0.80936,1.51485,6457.719,0.431287952
1446,c9dt03716k2_ASR_pacman,1.03265,6.62101,11.4207,3558.36,0.64568,0.625265,2017.504,0.430566677
2845,ja0c05758_si_003_3_FSR_pacman,0.748212,20.09697,23.26055,3482.38,0.73142,0.977557,8015.385,0.43002613
1235,c8qm00147b2_ASR_pacman,0.709931,5.38222,18.75076,4586.67,0.70016,0.986237,11527.416,0.42994335
1236,c8qm00147b2_FSR_pacman,0.709931,5.38222,18.75076,4586.67,0.70016,0.986237,11527.416,0.42994335
990,c8cc03121e2_3_ASR_pacman,1.27071,6.0757,14.25491,2029.33,0.70274,0.55303,1520.892,0.429583929
3445,ja8b12372_si_003_ASR_pacman,1.24095,9.85738,10.40375,2810.64,0.63932,0.515186,5304.698,0.429523572
292,am7b10795_si_002_ASR_pacman,0.806648,6.60117,16.32694,3663.22,0.72052,0.893228,13297.752,0.42938417
3363,ja8b05890_si_004_FSR_pacman,0.903642,10.6174,11.84657,3629.57,0.67882,0.751205,2943.468,0.429275318
1055,c8ce00653a2_3_FSR_pacman,1.35654,6.1123,11.2908,3294.22,0.60798,0.448184,19436.096,0.429167606
932,c7sc04829g2_FSR_pacman,0.903642,10.61342,11.81418,3624.74,0.6791,0.751515,2943.468,0.428957481
3572,ja9b09942_si_001_4_ASR_pacman,1.20516,9.90609,10.9799,2467.05,0.63588,0.527633,2903.764,0.428897772
3573,ja9b09942_si_001_4_FSR_pacman,1.20516,9.90609,10.9799,2467.05,0.63588,0.527633,2903.764,0.428897772
3481,ja9b02603_si_002_ASR_pacman,0.565164,17.10748,24.58221,2859.85,0.83466,1.47684,7416.732,0.428884555
3189,ja7b02272_si_009_FSR_pacman,0.772735,8.4886,33.70901,4403.61,0.70982,0.918582,40865.675,0.428566885
3188,ja7b02272_si_009_ASR_pacman,0.772735,8.4886,33.70901,4403.61,0.70982,0.918582,40865.675,0.428566885
997,c8cc03121e2_6_FSR_pacman,1.1895,6.26485,13.87922,2256.79,0.7018,0.589996,1568.889,0.428468758
2773,ic6b02413_si_002_2_FSR_pacman,0.989594,5.93433,13.64653,2799.06,0.70388,0.711282,9956.496,0.428454438
