Serial,name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume,UnitCell_MW_g_mol,score_svr
45,c6dt04433f2_FSR_pacman,1.50546,6.07369,7.71796,3618.74,0.52562,0.349142,9826.432,0.299771053
71,c8cc06593d2_1_FSR_pacman,1.072,3.42302,5.86271,3715.69,0.59456,0.554627,1626.546,0.298740476
142,c9tc05996b2_4_ASR_pacman,2.3188,6.58376,8.28576,2591.99,0.4726,0.203812,5631.472,0.296435892
143,c9tc05996b2_4_FSR_pacman,2.3188,6.58376,8.28576,2591.99,0.4726,0.203812,5631.472,0.296435892
184,d0sc01796e2_3_FSR_pacman,0.445969,14.67916,24.68878,3562.28,0.84112,1.88605,7866.336,0.296084759
183,d0sc01796e2_3_ASR_pacman,0.445969,14.67916,24.68878,3562.28,0.84112,1.88605,7866.336,0.296084759
100,c8ta09973a2_1_FSR_pacman,1.43929,3.42558,9.01028,3341.98,0.51182,0.355607,9521.364,0.293195723
99,c8ta09973a2_1_ASR_pacman,1.43929,3.42558,9.01028,3341.98,0.51182,0.355607,9521.364,0.293195723
186,d0sc03754k2_1_ASR_pacman,2.45582,5.30185,8.00246,2371.94,0.4788,0.194966,11775.368,0.292427264
187,d0sc03754k2_1_FSR_pacman,2.45582,5.30185,8.00246,2371.94,0.4788,0.194966,11775.368,0.292427264
172,d0ce00895h2_2_FSR_pacman,1.17022,4.62024,5.69686,4112.44,0.5817,0.497085,827.344,0.288261252
171,d0ce00895h2_2_ASR_pacman,1.17022,4.62024,5.69686,4112.44,0.5817,0.497085,827.344,0.288261252
31,c5ce02367j2_1_ASR_pacman,1.32651,6.71642,7.36648,3994.82,0.52228,0.393726,17480.784,0.286870249
178,d0dt00794c2_2_ASR_pacman,1.17786,5.11422,6.61424,3981.38,0.55558,0.471686,4675.856,0.286862366
179,d0dt00794c2_2_FSR_pacman,1.17786,5.11422,6.61424,3981.38,0.55558,0.471686,4675.856,0.286862366
55,c7dt03363j2_2_ASR_pacman,1.15651,4.5311,5.84545,4116.38,0.57856,0.500262,1346.352,0.286827591
34,c5ce02367j2_3_ASR_pacman,1.36322,6.63005,7.29832,3907.55,0.51796,0.379955,12395.184,0.283094746
110,c9cc08206a2_2_ASR_pacman,1.7134,5.52643,6.05033,2498.57,0.52184,0.304563,3112.888,0.280430868
214,d3sc00877k2_1_ASR_pacman,1.10854,4.89585,6.43035,4643.85,0.56078,0.505872,5488.256,0.274826525
215,d3sc00877k2_1_FSR_pacman,1.10854,4.89585,6.43035,4643.85,0.56078,0.505872,5488.256,0.274826525
158,cm0c01737_si_005_117_FSR_pacman,1.33062,4.42216,4.54354,4014.72,0.58206,0.437435,610.422,0.270305895
