Serial,Name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume,UnitCell_MW_g_mol,score_core,label_core
555,2018[Zr][scu]3[ASR]2,0.459317,12.22532,15.5599,3688.6,0.8312,1.80964,2032.64,-4.644276843390745,-1
134,2015[Ag][nan]2[ASR]1,2.71981,2.27603,2.92976,2689.1,0.2649,0.0973965,968.572,-4.654334783717918,-1
902,2020[Fe][tbo]3[ASR]1,0.450439,8.92157,21.24709,3989.67,0.824,1.82933,2764.416,-4.65693228790511,-1
603,2019[Co][nan]3[ASR]12,2.1984,3.36229,3.79823,2229.37,0.3603,0.163892,434.893,-4.687801234467088,-1
1061,2021[Cu][nbo]3[ASR]1,0.554504,11.88721,17.15952,4676.47,0.7637,1.37727,6426.828,-4.716802774637737,-1
903,2020[Fe][tbo]3[ASR]2,0.449851,8.90867,21.31123,4001.19,0.8276,1.83972,2764.416,-4.729454281114244,-1
1096,2021[Mn][nan]3[ASR]2,0.615226,14.2697,15.84844,4761.61,0.7154,1.16282,5480.232,-4.918567290025011,-1
173,2015[Zn][ith]3[ASR]2,0.494223,7.31618,19.49225,4508.36,0.7992,1.61708,7996.248,-4.95429903903233,-1
441,2017[Zn][nan]3[ASR]5,0.820062,8.81418,9.1693,5322.1,0.6291,0.767137,2692.076,-5.113062305103427,-1
24,0000[Zn][ith]3[ASR]1,0.543673,5.96446,16.25601,4780.16,0.7741,1.42383,8669.544,-5.114927997782289,-1
175,2015[Zn][ith]3[ASR]4,0.543377,5.88107,16.7062,4789.7,0.7721,1.42093,8669.544,-5.1261581618452885,-1
1360,2024[Zn][pcu]3[ASR]1,0.466253,10.64638,14.37106,4158.16,0.8298,1.77972,5479.256,-5.134635446715983,-1
174,2015[Zn][ith]3[ASR]3,0.540663,5.79323,16.40548,4798.96,0.7726,1.42899,8669.544,-5.187323150842477,-1
172,2015[Zn][ith]3[ASR]1,0.452533,7.80283,21.77624,4271.75,0.8285,1.83081,7322.952,-5.220118376030385,-1
554,2018[Zr][scu]3[ASR]1,0.429176,13.67336,16.55771,3689.37,0.8386,1.95398,2032.64,-5.244979514415907,-1
875,2020[Cu][sql]2[ASR]1,0.578816,5.59047,8.85794,4898.43,0.7507,1.29696,1623.808,-5.248115284151701,-1
449,2017[Zn][sql]2[ASR]3,0.727537,4.36617,7.76573,5390.78,0.6607,0.908132,2792.4,-5.352006679553547,-1
1105,2021[Pb][nan]3[ASR]1,3.13877,2.82581,3.14223,2184.66,0.3018,0.0961524,1484.772,-5.489210971615707,-1
258,2016[NiZr][ftw]3[ASR]1,0.420413,8.84486,21.37941,4224.45,0.8272,1.96759,4122.843,-5.556526586336865,-1
1107,2021[Sc][nan]3[ASR]1,0.714532,20.20069,20.65705,4471.3,0.6915,0.967766,5591.028,-5.612335536165253,-1
192,2015[Zr][ftw]3[ASR]1,0.458587,8.47189,17.85523,4687.82,0.7928,1.72879,3965.148,-5.710715132359973,-1
1326,2024[Ni][etb]3[ASR]1,0.627285,6.60182,11.34734,5297.59,0.7127,1.13617,1992.192,-5.713082256846022,-1
438,2017[Zn][nan]3[ASR]2,0.462869,15.45739,17.63962,4551.38,0.8151,1.76097,5909.07,-5.77707201856424,-1
446,2017[Zn][sod]3[ASR]1,0.684243,5.21481,14.89793,5461.47,0.6743,0.985469,5606.712,-5.815917261200475,-1
1239,2023[Cu][sql]2[ASR]1,0.599993,5.46009,8.07436,5313.02,0.7243,1.20718,1888.04,-6.047800387481461,-1
222,2016[Co][sql]2[ASR]2,0.606579,7.62721,7.94229,5328.3,0.7161,1.18055,735.749,-6.062954336051769,-1
193,2015[Zr][ftw]3[ASR]2,0.403686,8.6537,21.35584,4425.86,0.8247,2.04292,3952.812,-6.149192257209856,-1
94,2013[Zn][nan]3[ASR]9,0.396669,19.56277,24.50866,4135.15,0.8477,2.13704,28518.984,-6.158142009594249,-1
278,2016[Zr][buh]3[ASR]1,0.389439,10.77877,18.84439,4187.6,0.8366,2.14822,27325.632,-6.21919767440334,-1
900,2020[Fe][nuc]3[ASR]1,0.408405,7.94712,15.02966,4210.27,0.8315,2.03597,4601.496,-6.238734634637321,-1
1236,2023[Cu][ctn]3[ASR]1,0.505831,7.56799,9.35477,5115.72,0.7781,1.53826,3745.692,-6.549490526330397,-1
55,2010[Zn][pyr]3[ASR]1,0.408029,8.38682,13.81112,4329.58,0.8451,2.07118,4977.436,-6.616225583490638,-1
779,2019[Zr][csq]3[ASR]3,0.459784,28.66113,30.4579,3454.3,0.8347,1.81542,6097.92,-6.7415761182510625,-1
