name,UnitCell_MW_g_mol,Density_g_cm3,PLD_A,LCD_A,GSA_m2_g,VoidFraction,PoreVolume_cm3_g
2018[Er][nan]3[FSR]1,1220.6,2.2121,2.29,4.08804,2790.06,0.41732,0.188653
2018[Eu][nan]3[FSR]1,5087.104,0.895347,8.15613,10.38976,3762.02,0.6756,0.754568
2018[Fe][hcb]2[FSR]1,704.28,0.772429,5.82939,7.7129,3835.17,0.72334,0.936449
2018[Mn][bcu]3[FSR]1,2966.824,1.1197,5.03778,6.18382,4576.2,0.51582,0.460676
2018[Mn][nan]3[FSR]1,3706.492,1.09934,3.67382,5.46663,4489.86,0.53576,0.487346
2018[Ni][fmz]3[FSR]1,6245.514,0.636492,5.62966,11.37857,4582.37,0.7344,1.15382
2018[Ni][fmz]3[FSR]2,6888.06,0.701722,5.24428,10.35645,4572.7,0.70396,1.00319
2018[Ni][fmz]3[FSR]3,6858.09,0.698914,5.00818,11.26978,4599.22,0.70696,1.01151
2018[Ni][fmz]3[FSR]4,6737.862,0.683544,5.50486,9.06169,4608.54,0.71294,1.04301
2018[Ni][fmz]3[FSR]5,7301.364,0.751391,3.94115,9.85444,4445.66,0.69048,0.918935
2018[Ni][nan]3[FSR]1,1997.558,1.34172,3.6731,5.35437,4232.14,0.46952,0.349939
2018[Ni][nan]3[FSR]2,1937.498,1.30577,3.49278,4.95721,4283.34,0.4805,0.367981
2018[Ni][sql]2[FSR]1,2072.428,1.15857,4.56547,5.75139,4673.67,0.50814,0.438591
2018[Ni][sql]2[FSR]2,1820.38,0.963414,5.65582,7.08035,4916.25,0.57368,0.595466
2018[ZnCe][she]3[FSR]1,6693.096,0.548192,14.59463,23.2696,3134.47,0.8246,1.50422
2018[Zn][acs]3[FSR]1,1744.346,1.35647,5.34202,6.61919,4134.06,0.5029,0.370742
2018[Zn][nan]3[FSR]1,3299.346,0.867685,5.68763,7.98999,4929.64,0.6169,0.710972
2018[Zn][nan]3[FSR]3,1202.868,0.72676,16.87738,16.92978,3229.1,0.7687,1.05771
2018[Zn][nan]3[FSR]4,1202.868,0.725095,16.82095,16.87394,3242.68,0.76918,1.0608
2018[Zn][pcu]3[FSR]1,3249.848,1.0974,4.24797,5.73434,4941.96,0.5325,0.485237
2018[Zn][pcu]3[FSR]15,3902.824,1.07991,4.13951,6.2005,4561.62,0.56228,0.520675
2018[Zn][pcu]3[FSR]2,3041.27,0.81035,8.00479,9.45746,4599.29,0.67424,0.832036
2018[Zn][pcu]3[FSR]3,4665.696,0.965805,5.30943,7.84786,3994.96,0.65098,0.674028
2018[Zn][sql]2[FSR]1,8037.4,1.00765,3.9361,7.01447,4956.9,0.55952,0.55527
2018[Zn][sql]2[FSR]2,977.598,1.3331,3.29028,4.88143,4583.73,0.45826,0.343756
2018[Zn][sql]2[FSR]3,1028.48,1.1379,3.15784,4.36922,5212.51,0.48382,0.425188
2018[Zn][sql]2[FSR]4,967.658,1.29828,3.40153,5.12746,5195.13,0.42358,0.326262
2018[Zn][sql]2[FSR]7,1847.128,0.962909,5.65901,7.56109,4961.75,0.5828,0.605249
2018[Zn][sql]2[FSR]8,1847.128,0.95214,5.76264,8.16609,4981.09,0.58744,0.616968
2018[Zn][vtx]3[FSR]1,3125.43,1.43499,2.13544,2.88068,4400.08,0.42168,0.293855
2018[Zr][nan]3[FSR]1,18230.112,0.868063,5.25872,12.90854,3552.11,0.68128,0.784828
2018[Zr][nan]3[FSR]2,18230.112,0.854238,5.34156,13.22909,3544.13,0.68592,0.802961
2018[Zr][nan]3[FSR]3,2561.112,0.565002,7.63799,15.54455,3809.26,0.78454,1.38856
2018[Zr][nan]3[FSR]4,4857.902,0.70707,6.67955,13.74408,3632.48,0.73176,1.03492
2018[Zr][nan]3[FSR]5,4809.858,0.753337,7.02099,12.91193,3597.45,0.71624,0.950757
2019[Al][bpq]3[FSR]3,362.246,0.969882,6.57536,6.95943,4019.34,0.60114,0.619807
2019[Al][bpq]3[FSR]4,1448.984,1.46151,2.23649,2.73344,3934.76,0.40696,0.278452
2019[Al][fon]3[FSR]1,4115.536,0.58658,8.24844,10.38394,4458.51,0.74062,1.26261
2019[Al][fon]3[FSR]2,5035.352,0.671413,7.21655,10.11649,4289.89,0.71984,1.07213
2019[Bi][gra]2[FSR]1,2258.416,1.31024,4.15865,5.56109,3277.23,0.59688,0.455551
2019[Bi][sra]3[FSR]1,5429.216,1.13618,5.12255,6.09529,3965.76,0.56982,0.501522
2019[Cd][dia]3[FSR]1,2586.476,1.05613,3.41102,5.38573,4447.03,0.56896,0.538722
2019[Cd][fsc]3[FSR]1,3232.95,1.11086,5.12294,7.52807,4290.82,0.57126,0.514251
2019[Cd][hcb]2[FSR]1,1418.404,1.44727,3.74205,4.77123,4040.11,0.514,0.35515
2019[Cd][hcb]2[FSR]2,5687.92,1.36333,2.29452,5.83043,5135.21,0.41188,0.302113
2019[Cd][ins]3[FSR]1,2155.304,0.89021,8.25475,9.2342,4453.28,0.6541,0.73477
2019[Cd][ins]3[FSR]2,2211.412,0.774713,6.41379,9.08543,4478.62,0.69688,0.899533
2019[Cd][kgd]2[FSR]2,803.314,1.59678,3.00983,4.68355,4025.37,0.42838,0.268278
2019[Cd][kgd]2[FSR]3,999.442,0.973127,3.23146,7.14024,4869.6,0.57272,0.588536
2019[Cd][nan]2[FSR]1,2708.352,1.17917,4.37375,5.43492,4718.64,0.51246,0.434595
2019[Cd][nan]2[FSR]2,3244.596,1.26251,2.98467,5.92297,4781.18,0.4576,0.362453
2019[Cd][nan]3[FSR]3,3029.06,1.18103,4.3478,6.47197,3920.94,0.5883,0.498124
2019[Cd][nan]3[FSR]4,1816.874,1.50984,3.27191,4.68432,4084.93,0.44126,0.292256
2019[Cd][nan]3[FSR]5,4883.712,1.7873,2.4818,3.8967,3981.76,0.37036,0.207217
2019[Cd][nan]3[FSR]6,4206.812,1.53498,3.02214,6.38666,3666.77,0.50434,0.328564
2019[Cd][nan]3[FSR]7,7042.644,1.06139,4.40841,8.51869,4581.52,0.57496,0.541707
2019[Cd][nan]3[FSR]8,7042.644,1.04806,4.71224,8.29671,4597.19,0.58448,0.557675
2019[Cd][pts]3[FSR]1,3172.936,0.984578,6.02273,6.70051,3797.42,0.66262,0.672999
2019[Cd][sql]2[FSR]2,1189.732,1.42845,3.57123,5.17907,4543.08,0.43342,0.30342
2019[Cd][tfz]3[FSR]1,1584.56,1.18064,3.82169,6.08521,4309.59,0.53728,0.455073
2019[Cd][tfz]3[FSR]2,1648.68,0.939663,4.84271,6.44414,4279.43,0.632,0.672582
2019[Cd][tfz]3[FSR]3,5000.056,0.720926,8.89371,10.95547,3936.58,0.7439,1.03187
2019[Cd][ths]3[FSR]1,2446.792,1.39764,4.21863,6.15386,3996.59,0.52592,0.37629
2019[Ce][scu]3[FSR]1,1151.018,1.48124,2.98094,4.83345,4098.3,0.41768,0.28198
2019[Ce][sql]2[FSR]1,2562.032,1.63134,3.00698,4.06192,3581.56,0.4376,0.268246
2019[CoMg][hex]3[FSR]1,4412.108,0.905268,4.62255,6.68369,4585.74,0.60828,0.671934
2019[Co][apo]3[FSR]1,2425.112,1.05942,3.6671,4.54762,3946.02,0.58858,0.555566
2019[Co][crs]3[FSR]1,9821.832,0.984461,4.55772,9.86803,4314.5,0.5941,0.603478
2019[Co][hcb]2[FSR]1,1044.892,1.0328,6.36755,6.67043,4948.81,0.52466,0.507999
2019[Co][hex]3[FSR]1,4550.62,0.928459,4.86936,6.85186,4394.61,0.6105,0.657541
2019[Co][hex]3[FSR]2,4110.212,0.977201,5.44881,6.63089,4389.69,0.5997,0.613691
2019[Co][hxl]2[FSR]1,2379.642,1.18736,2.23281,5.70765,4829.7,0.4762,0.401058
2019[Co][jaj]3[FSR]1,3557.68,1.24626,3.87445,6.2306,4406.41,0.49446,0.396756
2019[Co][lcv]3[FSR]1,2528.368,1.63923,2.61902,3.21867,3593.71,0.45632,0.278374
2019[Co][nan]2[FSR]1,813.233,1.73961,3.0607,3.9117,3624.26,0.34932,0.200804
2019[Co][nan]2[FSR]2,1296.662,1.31442,2.50349,5.09885,4093.54,0.46722,0.355457
2019[Co][nan]3[FSR]1,1128.144,1.43124,5.45867,7.48593,3250.17,0.51122,0.357186
2019[Co][nan]3[FSR]10,935.892,1.18431,10.78007,11.53528,2480.83,0.63758,0.538356
2019[Co][nan]3[FSR]11,935.892,1.17266,10.91867,11.6947,2486.28,0.64104,0.546657
2019[Co][nan]3[FSR]12,935.892,1.17224,10.88216,11.69824,2481.43,0.64212,0.54777
2019[Co][nan]3[FSR]2,5595.822,0.766859,6.35015,9.89062,4436.58,0.6736,0.878389
2019[Co][nan]3[FSR]3,3432.582,1.03663,5.37504,9.07824,4623.49,0.54688,0.527555
2019[Co][nan]3[FSR]4,3757.22,1.1763,3.93981,6.72981,3704.12,0.55578,0.47248
2019[Co][nan]3[FSR]5,3218.724,0.994093,3.91144,5.14458,5034.36,0.54852,0.551779
2019[Co][nan]3[FSR]6,2206.462,1.44077,2.56388,6.62409,3383.96,0.5002,0.347176
2019[Co][nan]3[FSR]9,434.893,2.1984,3.36229,3.79823,2216.46,0.36326,0.165239
2019[Co][pcu]3[FSR]1,2261.628,0.956026,5.4487,6.02974,4682.02,0.5861,0.613059
2019[Co][pcu]3[FSR]2,3065.784,1.08616,3.88478,5.40279,4440.53,0.54466,0.501456
2019[Co][rtl]3[FSR]1,1212.556,1.15956,2.43002,4.39606,4000.87,0.54494,0.469956
2019[Co][sql]2[FSR]1,2524.434,1.26236,2.21166,4.03245,5024.97,0.41184,0.326247
2019[Co][sql]2[FSR]2,1569.308,1.23778,3.29481,4.90154,4903.8,0.44472,0.359288
2019[Cr][acs]3[FSR]1,1188.91,0.538843,11.59583,14.0702,4162.7,0.77798,1.4438
2019[Cu][gar]3[FSR]1,11575.32,1.25702,5.79853,8.37218,3318.42,0.61462,0.488948
2019[Cu][gra]3[FSR]1,1671.604,1.64577,3.51527,3.87876,4230.74,0.38018,0.231004
2019[Cu][kgd]2[FSR]1,1459.024,1.23935,3.20296,5.39437,4095.82,0.53104,0.428483
2019[Cu][lcv]3[FSR]1,5710.992,1.14002,5.70552,8.44171,4457.68,0.53904,0.472833
