Serial,Name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume,UnitCell_MW_g_mol,score_svm,label_svm
331,2017[Co][nan]3[ASR]8,1.17528,10.85848,11.65036,2498.23,0.6423,0.546509,935.892,1.2893924488951793,1
146,2015[CrMn][nod]3[ASR]1,0.738263,7.52711,9.02632,3234.51,0.7624,1.03269,5935.808,1.288636610426607,1
971,2020[Zn][nan]2[ASR]2,1.409,6.28404,7.16487,3033.29,0.6263,0.4445,1200.26,1.2850119135845084,1
604,2019[Co][nan]3[ASR]13,1.18431,10.78007,11.53528,2483.25,0.6336,0.534996,935.892,1.2848949465243233,1
602,2019[Co][nan]3[ASR]1,1.17375,10.90185,11.63097,2486.28,0.6422,0.547134,935.892,1.282816102858866,1
1274,2023[Sm][pts]3[ASR]1,1.42856,6.2058,7.01618,2789.87,0.5655,0.395852,592.388,1.2822904987921007,1
676,2019[In][nan]3[ASR]1,0.975636,14.53396,14.79531,3126.97,0.7083,0.725988,1769.598,1.282275348213352,1
605,2019[Co][nan]3[ASR]14,1.17266,10.91867,11.6947,2486.15,0.6376,0.543723,935.892,1.28177271432382,1
606,2019[Co][nan]3[ASR]15,1.17224,10.88216,11.69824,2479.83,0.6437,0.549118,935.892,1.28121070217036,1
330,2017[Co][nan]3[ASR]7,1.17979,10.79044,11.60621,2471.56,0.6351,0.538318,2807.676,1.280243182450594,1
324,2017[Co][nan]3[ASR]15,1.18753,10.77074,11.55785,2468.46,0.6409,0.539693,935.892,1.28010256795553,1
489,2018[Co][nan]3[ASR]8,1.18297,10.97893,11.68073,2486.62,0.6417,0.542449,3743.568,1.2797760011436303,1
747,2019[Zn][nan]3[ASR]10,1.2847,13.50348,13.99981,3062.07,0.644,0.501286,3922.488,1.2791362222985267,1
329,2017[Co][nan]3[ASR]6,1.17257,10.86547,11.65774,2472.44,0.6472,0.551952,935.892,1.2787267476948774,1
722,2019[Tb][urx]3[ASR]1,0.782532,10.47616,15.9169,2707.23,0.7749,0.990247,10652.346,1.2786747768918845,1
607,2019[Co][nan]3[ASR]2,1.18734,11.08091,11.62577,2488.0,0.6376,0.537,935.892,1.2754900362372503,1
655,2019[Er][hcb]2[ASR]3,1.29893,4.03133,5.22803,2905.08,0.6511,0.501259,620.886,1.2739345489491218,1
692,2019[Mg][nan]3[ASR]3,0.929735,10.84174,11.55168,3324.49,0.6519,0.701168,728.124,1.2734124044502424,1
1010,2020[Zr][nan]3[ASR]1,0.77024,9.98215,11.14273,3421.87,0.7271,0.943992,3132.981,1.2714458214382314,1
690,2019[Mg][nan]3[ASR]1,0.910088,10.82488,11.61605,3343.52,0.6557,0.72048,728.124,1.2708022458756028,1
915,2020[Mg][nan]3[ASR]1,0.912549,10.89789,11.67288,3346.79,0.6548,0.71755,728.124,1.267854101817388,1
39,2007[Zn][srs]3[ASR]10,1.23146,6.77259,8.60968,3271.27,0.6693,0.5435,12657.888,1.2645094614435946,1
42,2007[Zn][srs]3[ASR]13,1.20596,7.09618,8.73075,3288.07,0.6705,0.555988,12657.888,1.2636853845786928,1
245,2016[Cu][nan]3[ASR]3,1.47307,6.46579,7.90968,3048.2,0.6068,0.411928,8529.528,1.2632582328586703,1
691,2019[Mg][nan]3[ASR]2,0.912446,10.73041,12.01944,3357.04,0.6481,0.710289,4368.744,1.263136367045898,1
44,2007[Zn][srs]3[ASR]15,1.22175,7.06521,8.38192,3280.19,0.6741,0.551751,12657.888,1.262965585767253,1
40,2007[Zn][srs]3[ASR]11,1.22695,7.15145,8.64577,3285.13,0.6693,0.545499,12657.888,1.2613508727482514,1
43,2007[Zn][srs]3[ASR]14,1.23467,7.01593,8.40821,3269.63,0.6679,0.540955,12657.888,1.260805459381656,1
28,0000[Zn][srs]3[ASR]1,1.22499,7.83619,8.53797,3281.84,0.6656,0.543353,12657.888,1.259888525199751,1
943,2020[SiZr][scu]3[ASR]1,0.850747,7.96273,10.19342,3433.06,0.7064,0.830329,3456.66,1.258714968238794,1
654,2019[Er][hcb]2[ASR]2,1.34705,3.75656,5.61819,2913.74,0.6334,0.470211,1241.772,1.2572399661852989,1
