Serial,name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume,UnitCell_MW_g_mol,score_test,label_test
244,ja512137t_si_002_3_FSR_pacman,1.05929,3.45409,8.74664,3857.66,0.59122,0.558131,2353.884,0.10144816,1
243,ja512137t_si_002_3_ASR_pacman,1.05929,3.45409,8.74664,3857.66,0.59122,0.558131,2353.884,0.10144816,1
178,d0dt00794c2_2_ASR_pacman,1.17786,5.11422,6.61424,3981.38,0.55558,0.471686,4675.856,0.101444301,1
179,d0dt00794c2_2_FSR_pacman,1.17786,5.11422,6.61424,3981.38,0.55558,0.471686,4675.856,0.101444301,1
282,ja9b00913_si_002_FSR_pacman,1.28064,3.47878,5.23268,3672.06,0.52976,0.413667,5121.008,0.101096922,1
257,ja7b04532_si_004_FSR_pacman,1.3051,5.69426,6.93873,3659.97,0.54834,0.42015,5761.264,0.100248624,1
303,oc7b00328_si_004_ASR_pacman,1.42928,4.1006,5.55687,3389.77,0.53306,0.372958,3609.936,0.097185317,1
249,ja7b01764_si_005_ASR_pacman,1.27332,5.79828,6.45963,4672.76,0.4824,0.378852,2342.236,0.09636816,1
250,ja7b01764_si_005_FSR_pacman,1.27332,5.79828,6.45963,4672.76,0.4824,0.378852,2342.236,0.09636816,1
1,am0c01198_si_002_FSR_pacman,1.13209,4.46884,5.99272,4985.8,0.46792,0.413323,3036.072,0.094222207,1
241,ja512137t_si_002_2_ASR_pacman,1.06098,3.55042,8.76583,3840.65,0.60274,0.5681,2377.5,0.094088827,1
242,ja512137t_si_002_2_FSR_pacman,1.06098,3.55042,8.76583,3840.65,0.60274,0.5681,2377.5,0.094088827,1
256,ja7b04532_si_004_ASR_pacman,1.1582,5.76444,9.21345,3307.35,0.62602,0.54051,4820.128,0.093810112,1
44,c6dt04433f2_ASR_pacman,1.3766,6.24564,8.1141,3248.89,0.59538,0.4325,8985.336,0.092846941,1
203,d2qi01175a2_ASR_pacman,1.0764,4.03732,8.83567,3592.64,0.6117,0.568284,2408.196,0.091760489,1
204,d2qi01175a2_FSR_pacman,1.0764,4.03732,8.83567,3592.64,0.6117,0.568284,2408.196,0.091760489,1
34,c5ce02367j2_3_ASR_pacman,1.36322,6.63005,7.29832,3907.55,0.51796,0.379955,12395.184,0.090931668,1
31,c5ce02367j2_1_ASR_pacman,1.32651,6.71642,7.36648,3994.82,0.52228,0.393726,17480.784,0.088364936,1
118,c9dt04912f2_FSR_pacman,1.05575,4.53353,5.71758,4581.56,0.56026,0.530676,2099.096,0.087369099,1
117,c9dt04912f2_ASR_pacman,1.05575,4.53353,5.71758,4581.56,0.56026,0.530676,2099.096,0.087369099,1
88,c8dt01405a2_2_ASR_pacman,1.10099,3.72517,6.64119,4138.22,0.58938,0.535316,2452.944,0.087369049,1
89,c8dt01405a2_2_FSR_pacman,1.10099,3.72517,6.64119,4138.22,0.58938,0.535316,2452.944,0.087369049,1
215,d3sc00877k2_1_FSR_pacman,1.10854,4.89585,6.43035,4643.85,0.56078,0.505872,5488.256,0.08620043,1
214,d3sc00877k2_1_ASR_pacman,1.10854,4.89585,6.43035,4643.85,0.56078,0.505872,5488.256,0.08620043,1
121,c9nj03664d2_2_ASR_pacman,1.94638,3.36453,4.27044,3209.46,0.42488,0.218292,1561.188,0.086054286,1
238,ja205976v_si_004_ASR_pacman,1.40681,7.6745,8.85712,2623.34,0.55644,0.395532,3328.056,0.085978498,1
239,ja205976v_si_004_FSR_pacman,1.40681,7.6745,8.85712,2623.34,0.55644,0.395532,3328.056,0.085978498,1
29,c5ce02140e2_4_ASR_pacman,1.3971,3.53082,4.5731,3621.99,0.53834,0.385326,646.488,0.084148223,1
55,c7dt03363j2_2_ASR_pacman,1.15651,4.5311,5.84545,4116.38,0.57856,0.500262,1346.352,0.083607158,1
123,c9nj03664d2_3_ASR_pacman,1.96263,3.35269,4.2532,3184.39,0.41916,0.213571,1388.45,0.083318245,1
210,d3ce01078c2_6_FSR_pacman,1.41937,7.1593,8.11512,3809.55,0.5247,0.369672,4750.884,0.08260228,1
209,d3ce01078c2_6_ASR_pacman,1.41937,7.1593,8.11512,3809.55,0.5247,0.369672,4750.884,0.08260228,1
227,ic5b02108_si_002_6_ASR_pacman,1.24917,6.9202,7.01087,3157.58,0.58392,0.467445,1440.92,0.079983865,1
228,ic5b02108_si_002_6_FSR_pacman,1.24917,6.9202,7.01087,3157.58,0.58392,0.467445,1440.92,0.079983865,1
205,d2sc05192c2_ASR_pacman,1.29084,4.02108,7.57139,3040.72,0.60486,0.468578,7132.368,0.079794916,1
225,ic5b02108_si_002_5_ASR_pacman,1.25282,6.91477,7.00347,3140.17,0.58456,0.466594,1440.92,0.079749555,1
226,ic5b02108_si_002_5_FSR_pacman,1.25282,6.91477,7.00347,3140.17,0.58456,0.466594,1440.92,0.079749555,1
189,d1dt02587b2_2_ion_pacman,1.99242,2.72189,4.51371,3110.72,0.47838,0.240101,5129.472,0.079220026,1
223,ic5b02108_si_002_4_ASR_pacman,1.24502,6.96983,7.02216,3158.92,0.58526,0.470082,1440.92,0.078968336,1
224,ic5b02108_si_002_4_FSR_pacman,1.24502,6.96983,7.02216,3158.92,0.58526,0.470082,1440.92,0.078968336,1
172,d0ce00895h2_2_FSR_pacman,1.17022,4.62024,5.69686,4112.44,0.5817,0.497085,827.344,0.07864312,1
171,d0ce00895h2_2_ASR_pacman,1.17022,4.62024,5.69686,4112.44,0.5817,0.497085,827.344,0.07864312,1
125,c9nj03664d2_5_ASR_pacman,2.00696,3.35207,4.22884,3116.34,0.41768,0.208115,1561.188,0.077588243,1
59,c7nj01463e2_2_ASR_pacman,2.0031,3.34885,4.25631,3109.06,0.41524,0.207299,1561.188,0.077004983,1
116,c9dt00791a2_4_FSR_pacman,1.25175,6.53807,6.88724,4638.02,0.50112,0.400336,1171.118,0.076646667,1
115,c9dt00791a2_4_ASR_pacman,1.25175,6.53807,6.88724,4638.02,0.50112,0.400336,1171.118,0.076646667,1
173,d0ce01101k2_ASR_pacman,1.88802,2.59848,3.55728,3411.82,0.35104,0.18593,2192.976,0.076470643,1
46,c6qi00548a2_ASR_pacman,1.03097,6.05589,6.78911,4192.98,0.579,0.561604,1995.624,0.076146363,1
47,c6qi00548a2_FSR_pacman,1.03097,6.05589,6.78911,4192.98,0.579,0.561604,1995.624,0.076146363,1
122,c9nj03664d2_2_FSR_pacman,2.04787,3.36453,4.27044,3210.72,0.38534,0.188166,1705.308,0.075509567,1
119,c9nj03664d2_1_ASR_pacman,2.0267,3.34177,4.22929,3077.62,0.42026,0.207362,2832.588,0.075089927,1
202,d2dt02340g2_2_FSR_pacman,1.48619,4.40687,4.95592,2933.27,0.53998,0.363331,628.418,0.073360772,1
154,cg901128k_si_004_ion_pacman,1.99128,4.46613,5.23375,3285.49,0.36836,0.184986,1990.458,0.072747918,1
40,c6ce02146h2_1_ASR_pacman,1.00677,3.57208,6.09052,5052.18,0.52356,0.52004,3250.08,0.072662349,1
41,c6ce02146h2_1_FSR_pacman,1.00677,3.57208,6.09052,5052.18,0.52356,0.52004,3250.08,0.072662349,1
235,ja0c04450_si_003_FSR_pacman,1.01727,3.24672,6.05804,4878.83,0.56324,0.553677,3751.616,0.07252661,1
124,c9nj03664d2_3_FSR_pacman,2.06449,3.35269,4.18277,3230.55,0.37582,0.18204,1460.51,0.072418979,1
133,c9sc00178f2_8_FSR_pacman,0.94692,4.12327,10.08736,4228.86,0.63868,0.674481,1923.654,0.070779349,1
132,c9sc00178f2_8_ASR_pacman,0.94692,4.12327,10.08736,4228.86,0.63868,0.674481,1923.654,0.070779349,1
156,cm0c01737_si_004_75_FSR_pacman,1.24982,4.40446,4.54074,4296.91,0.57332,0.458722,604.494,0.070141493,1
155,cm0c01737_si_004_75_ASR_pacman,1.24982,4.40446,4.54074,4296.91,0.57332,0.458722,604.494,0.070141493,1
301,la4012839_si_002_ASR_pacman,1.00441,5.4718,11.28097,3568.92,0.67674,0.673767,11301.888,0.069556977,1
302,la4012839_si_002_FSR_pacman,1.00441,5.4718,11.28097,3568.92,0.67674,0.673767,11301.888,0.069556977,1
254,ja7b04532_si_002_FSR_pacman,0.996126,7.37756,14.79124,2908.87,0.70926,0.712018,1985.016,0.069003863,1
85,c8ce02122h2_ion_pacman,1.24137,2.70187,4.34167,5204.47,0.451,0.363308,2599.898,0.068973993,1
39,c5dt03091a2_3_FSR_pacman,0.9378,7.21319,13.22023,3297.81,0.70628,0.753124,14342.912,0.068919133,1
130,c9sc00178f2_2_ASR_pacman,0.920894,4.46726,10.50192,4206.65,0.64496,0.700363,1912.65,0.067889611,1
131,c9sc00178f2_2_FSR_pacman,0.920894,4.46726,10.50192,4206.65,0.64496,0.700363,1912.65,0.067889611,1
145,c9tc05996b2_5_FSR_pacman,2.28494,6.60292,8.31983,2616.62,0.4797,0.20994,5631.472,0.067024313,1
144,c9tc05996b2_5_ASR_pacman,2.28494,6.60292,8.31983,2616.62,0.4797,0.20994,5631.472,0.067024313,1
111,c9cc08206a2_2_FSR_pacman,1.78385,4.87076,5.58001,2628.18,0.49054,0.274989,3240.88,0.065573859,1
126,c9nj03664d2_5_FSR_pacman,2.10956,3.35207,4.18556,3163.5,0.37324,0.176928,1705.308,0.065297741,1
38,c5dt03091a2_2_FSR_pacman,0.941723,7.05673,13.1277,3276.1,0.70936,0.753257,8743.968,0.065277877,1
71,c8cc06593d2_1_FSR_pacman,1.072,3.42302,5.86271,3715.69,0.59456,0.554627,1626.546,0.064980562,1
152,cg900505v_si_004_ASR_pacman,2.33143,2.79211,4.53527,3290.55,0.34284,0.147051,2805.58,0.064142041,1
153,cg900505v_si_004_FSR_pacman,2.33143,2.79211,4.53527,3290.55,0.34284,0.147051,2805.58,0.064142041,1
120,c9nj03664d2_1_FSR_pacman,2.12982,3.34177,4.19329,3126.28,0.3773,0.177151,2976.708,0.063761159,1
174,d0ce01101k2_FSR_pacman,1.95006,2.59848,3.55728,3412.92,0.32494,0.166631,2265.036,0.062978212,1
60,c7nj01463e2_2_FSR_pacman,2.1055,3.34885,4.25631,3115.34,0.3747,0.177963,1705.308,0.062619518,1
142,c9tc05996b2_4_ASR_pacman,2.3188,6.58376,8.28576,2591.99,0.4726,0.203812,5631.472,0.06178666,1
143,c9tc05996b2_4_FSR_pacman,2.3188,6.58376,8.28576,2591.99,0.4726,0.203812,5631.472,0.06178666,1
164,cm501138g_si_007_FSR_pacman,0.961822,5.4089,11.15845,3770.38,0.678,0.704912,10542.672,0.061489757,1
163,cm501138g_si_005_FSR_pacman,0.967881,5.37904,10.98656,3765.15,0.67666,0.699115,10542.672,0.061420515,1
165,cm501138g_si_008_FSR_pacman,0.964074,5.40299,11.0376,3777.13,0.67716,0.702394,10542.672,0.061081605,1
90,c8dt03215g2_2_ASR_pacman,0.96161,5.45153,10.61906,4715.54,0.60448,0.628612,7096.29,0.059484618,1
91,c8dt03215g2_2_FSR_pacman,0.96161,5.45153,10.61906,4715.54,0.60448,0.628612,7096.29,0.059484618,1
157,cm0c01737_si_005_117_ASR_pacman,1.33062,4.42216,4.54354,4014.72,0.58206,0.437435,610.422,0.059269126,1
158,cm0c01737_si_005_117_FSR_pacman,1.33062,4.42216,4.54354,4014.72,0.58206,0.437435,610.422,0.059269126,1
150,cg900505v_si_002_ASR_pacman,2.3603,2.81593,4.4829,3281.6,0.3365,0.142567,2805.58,0.058965564,1
151,cg900505v_si_002_FSR_pacman,2.3603,2.81593,4.4829,3281.6,0.3365,0.142567,2805.58,0.058965564,1
13,am8b14118_si_002_FSR_pacman,0.959496,2.76751,13.39714,3571.16,0.65248,0.680024,4623.108,0.058756119,1
12,am8b14118_si_002_ASR_pacman,0.959496,2.76751,13.39714,3571.16,0.65248,0.680024,4623.108,0.058756119,1
162,cm0c01737_si_006_345_FSR_pacman,1.96988,2.9866,3.69031,2915.78,0.44448,0.225638,974.574,0.058357329,1
161,cm0c01737_si_006_345_ASR_pacman,1.96988,2.9866,3.69031,2915.78,0.44448,0.225638,974.574,0.058357329,1
110,c9cc08206a2_2_ASR_pacman,1.7134,5.52643,6.05033,2498.57,0.52184,0.304563,3112.888,0.054736364,1
37,c5dt03091a2_1_FSR_pacman,0.877341,7.45136,13.4706,3442.79,0.7207,0.821459,8743.968,0.054162437,1
181,d0dt03952g2_1_ASR_pacman,0.920669,4.87885,6.27801,4340.43,0.60928,0.66178,715.704,0.054070613,1
265,ja7b08632_si_004_ion_pacman,1.00814,4.54733,6.00751,4135.31,0.62052,0.61551,1502.77,0.049460071,1
160,cm0c01737_si_006_321_FSR_pacman,1.73607,3.11541,3.50889,2916.78,0.512,0.294918,974.574,0.048719283,1
159,cm0c01737_si_006_321_ASR_pacman,1.73607,3.11541,3.50889,2916.78,0.512,0.294918,974.574,0.048719283,1
49,c6ra03969c2_2_ASR_pacman,0.983721,4.28226,5.3579,5072.47,0.53804,0.546944,7130.32,0.047665825,1
50,c6ra03969c2_2_FSR_pacman,1.05961,4.28226,5.3579,5196.97,0.49916,0.471078,7715.08,0.046045975,1
87,c8dt00502h2_1_FSR_pacman,0.934706,6.40406,9.24152,4014.8,0.66054,0.706682,2468.464,0.045929855,1
86,c8dt00502h2_1_ASR_pacman,0.934706,6.40406,9.24152,4014.8,0.66054,0.706682,2468.464,0.045929855,1
140,c9tc05996b2_3_ASR_pacman,2.32031,6.86404,8.64029,2404.41,0.4984,0.214799,5817.532,0.045244577,1
141,c9tc05996b2_3_FSR_pacman,2.32031,6.86404,8.64029,2404.41,0.4984,0.214799,5817.532,0.045244577,1
186,d0sc03754k2_1_ASR_pacman,2.45582,5.30185,8.00246,2371.94,0.4788,0.194966,11775.368,0.042468225,1
187,d0sc03754k2_1_FSR_pacman,2.45582,5.30185,8.00246,2371.94,0.4788,0.194966,11775.368,0.042468225,1
136,c9tc05996b2_1_ASR_pacman,2.33073,6.96059,8.76913,2387.4,0.49916,0.214165,5817.532,0.042375709,1
137,c9tc05996b2_1_FSR_pacman,2.33073,6.96059,8.76913,2387.4,0.49916,0.214165,5817.532,0.042375709,1
138,c9tc05996b2_2_ASR_pacman,2.36158,6.85525,8.53426,2387.48,0.49304,0.208775,5817.532,0.039885113,1
139,c9tc05996b2_2_FSR_pacman,2.36158,6.85525,8.53426,2387.48,0.49304,0.208775,5817.532,0.039885113,1
61,c7nj04966h2_FSR_pacman,1.02369,3.71763,5.9901,4601.42,0.62624,0.611749,1812.104,0.036480682,1
192,d1qi00349f3_3_FSR_pacman,0.934367,6.3162,8.77465,4155.09,0.66016,0.706532,7040.112,0.036037812,1
114,c9dt00645a2_ASR_pacman,0.933074,5.13442,7.56653,4309.35,0.65256,0.699366,3974.984,0.031323641,1
108,c9cc00692c2_2_ASR_pacman,1.04167,5.7308,7.58847,3335.2,0.6708,0.643966,3763.564,0.031116987,1
109,c9cc00692c2_2_FSR_pacman,1.04167,5.7308,7.58847,3335.2,0.6708,0.643966,3763.564,0.031116987,1
107,c9cc00692c2_1_FSR_pacman,1.04355,5.71237,7.57291,3332.45,0.67068,0.642693,3763.564,0.031005109,1
106,c9cc00692c2_1_ASR_pacman,1.04355,5.71237,7.57291,3332.45,0.67068,0.642693,3763.564,0.031005109,1
246,ja7b00219_si_007_ASR_pacman,0.86138,8.04283,9.74012,3678.89,0.68712,0.797697,3271.704,0.024574813,1
247,ja7b00219_si_007_FSR_pacman,0.86138,8.04283,9.74012,3678.89,0.68712,0.797697,3271.704,0.024574813,1
298,ja9b11952_si_002_3_ion_pacman,1.09595,3.7049,5.33794,5273.84,0.53012,0.483708,1007.32,0.020932029,1
196,d2cc01506d2_ASR_pacman,1.03079,11.04548,11.54282,3528.69,0.64482,0.625558,3033.78,0.018384434,1
309,sc8b05524_si_002_ASR_pacman,0.550707,24.42917,29.55575,3155.22,0.81018,1.47116,7339.26,0.012139465,1
259,ja7b04532_si_005_FSR_pacman,0.800323,8.1262,10.97432,3650.89,0.72094,0.900812,6642.184,0.007936037,1
190,d1dt03249f2_ion_pacman,1.01012,7.61347,8.32959,4890.56,0.56484,0.559182,5493.646,0.005960589,1
177,d0ce01593h2_5_ASR_pacman,0.771514,6.51542,9.73283,4285.08,0.67736,0.877962,4569.906,0.00331842,1
300,ja9b12924_si_002_4_FSR_pacman,0.782706,4.4096,8.63844,4712.73,0.64694,0.826543,1781.268,0.002213275,1
299,ja9b12924_si_002_4_ASR_pacman,0.782706,4.4096,8.63844,4712.73,0.64694,0.826543,1781.268,0.002213275,1
197,d2cc01506d2_FSR_pacman,1.17769,11.29129,11.80907,3560.49,0.58126,0.493557,3466.14,0.002120037,1
220,ic502643m_si_008_ion_pacman,0.84467,7.00331,8.98627,3972.75,0.69468,0.822428,4432.84,0.002025846,1
