Serial,Name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume,UnitCell_MW_g_mol,score_core,label_core
302,2017[Cd][kgd]2[ASR]4,1.65857,3.00289,3.60229,4157.89,0.3841,0.231585,945.47,0.18065701289615466,-1
1281,2023[Zn][nan]3[ASR]10,1.40463,3.41668,5.99546,4162.1,0.4948,0.352264,2861.812,0.18019216729081067,-1
311,2017[Cd][sql]2[ASR]2,1.32725,3.37778,4.16728,4638.08,0.4483,0.337765,4935.36,0.1801582989951096,-1
660,2019[Eu][nan]3[ASR]4,1.38038,3.10195,6.45419,3892.08,0.4891,0.354321,6872.324,0.18009330678141788,-1
661,2019[Eu][nan]3[ASR]5,1.38038,3.10195,6.45419,3892.05,0.4891,0.354321,6872.324,0.1800922237030902,-1
720,2019[Tb][nan]3[ASR]4,1.40117,3.23236,6.36586,3829.4,0.4802,0.342714,6955.856,0.18004558326702735,-1
709,2019[Ni][nan]3[ASR]4,1.24538,3.7016,5.39072,4431.4,0.4903,0.393695,2518.006,0.17995185356116328,-1
240,2016[Co][sql]2[ASR]8,1.23535,3.56609,4.52454,4573.27,0.4667,0.377788,335.225,0.17972266152876526,-1
738,2019[Zn][fsc]3[ASR]1,1.30104,4.07929,5.40554,4651.08,0.4428,0.340344,1255.748,0.1796898497854087,-1
924,2020[Mg][rtl]3[ASR]1,1.32281,2.17537,4.11995,4817.64,0.4037,0.305184,1074.044,0.1794710808208939,-1
239,2016[Co][sql]2[ASR]7,1.22915,3.64386,4.65454,4548.37,0.471,0.383192,335.225,0.17940024075155403,-1
822,2020[Co][nan]2[ASR]2,1.1714,3.28319,4.94435,4497.32,0.4888,0.417279,1887.65,0.17927287518570956,-1
326,2017[Co][nan]3[ASR]3,1.18055,2.10397,5.41284,4626.85,0.4905,0.415483,2197.648,0.17916262921905357,-1
816,2020[Co][fsc]3[ASR]2,1.17078,3.02712,6.23989,4769.3,0.4763,0.406823,2189.824,0.1790261092401937,-1
1048,2021[Co][pcu]3[ASR]1,1.21954,3.27006,4.76743,4737.09,0.4553,0.373337,2129.684,0.17851420640184856,-1
968,2020[Zn][gwg]3[ASR]1,1.31164,3.37311,4.10489,4564.15,0.4625,0.352613,1810.828,0.17822833864800502,-1
1130,2021[Zn][nan]3[ASR]14,1.29542,2.53338,4.46033,4798.19,0.4412,0.340584,4351.084,0.17822654010194694,-1
418,2017[ZnSi][sql]2[ASR]1,1.31423,2.78365,3.96187,4514.77,0.4721,0.359223,2223.456,0.1777515302235957,-1
1325,2024[Mn][pts]3[ASR]1,1.19889,3.81211,4.62639,4565.17,0.4676,0.390029,2109.592,0.17770733596450428,-1
892,2020[Eu][nan]3[ASR]1,1.65352,2.85484,3.85178,4021.09,0.4032,0.243844,4458.64,0.17743199151756683,-1
944,2020[Sm][nan]3[ASR]1,1.62431,2.81988,3.56066,4068.45,0.41,0.252416,3242.928,0.1771667411509077,-1
232,2016[Co][sql]2[ASR]29,1.22317,3.70136,4.737,4567.79,0.4747,0.388089,335.225,0.17707329520450354,-1
800,2020[Cd][nan]3[ASR]4,1.43358,4.68099,6.31819,4451.25,0.4312,0.300786,4030.536,0.17706503108153848,-1
527,2018[Ni][nan]3[ASR]3,1.29332,3.6731,5.35437,4175.93,0.4909,0.379566,1925.498,0.17692224474815532,-1
238,2016[Co][sql]2[ASR]6,1.20751,3.82974,5.01845,4554.83,0.4794,0.397015,335.225,0.1768244462684163,-1
1366,2024[Zn][sql]2[ASR]3,1.32669,4.05284,4.80763,4616.32,0.4479,0.337607,2471.836,0.176820903359463,-1
1121,2021[Zn][fsc]3[ASR]1,1.28747,2.85538,4.46057,4784.1,0.4458,0.346261,1051.698,0.17677564576373928,-1
